# _tick,_time,step,mean_episode_return,mean_episode_step,total_loss,pg_loss,baseline_loss,entropy_loss,learner_queue_size,train_seconds
125,1654565867.4281476,1502720,46.908260345458984,2735.932373046875,52.965274810791016,7.785061359405518,49.3430290222168,-4.162813663482666,32,836.9
126,1654565870.420684,1507840,0.6792728900909424,3351.26416015625,-33.64249038696289,-36.21255111694336,6.800871849060059,-4.2308125495910645,32,841.9
127,1654565876.2750514,1518080,-26.160961151123047,3413.751708984375,754.2218627929688,449.52008056640625,309.52294921875,-4.821146488189697,32,846.9
128,1654565886.1745625,1536000,-32.15106964111328,2255.431640625,27.177513122558594,-15.601428985595703,48.39664840698242,-5.617706298828125,32,856.9
129,1654565889.1190765,1541120,89.94729614257812,2854.78173828125,19.591779708862305,7.591386795043945,17.093944549560547,-5.093552112579346,32,861.9
130,1654565890.5373125,1543680,-13.990793228149414,3460.814208984375,15.020475387573242,-31.7884521484375,52.02824401855469,-5.2193169593811035,32,861.9
131,1654565892.0003715,1546240,-7.900836944580078,3234.79736328125,-70.59857940673828,-106.66517639160156,41.14250946044922,-5.0759148597717285,32,861.9
132,1654565897.483459,1556480,213.4635772705078,3350.868896484375,-82.79822540283203,-88.1007080078125,10.75339126586914,-5.450903415679932,32,866.9
133,1654565898.9568076,1559040,-0.6308565139770508,3652.525390625,238.37026977539062,128.01161193847656,115.760498046875,-5.401837348937988,32,871.9
134,1654565901.7380824,1564160,26.6290340423584,3011.92041015625,277.252685546875,121.12417602539062,161.3151092529297,-5.1865997314453125,32,871.9
135,1654565903.1966016,1566720,26.62057113647461,2736.501953125,-51.176025390625,-76.27467346191406,30.14153480529785,-5.04288387298584,32,871.9
136,1654565906.0567875,1571840,21.739789962768555,2681.947021484375,-19.924455642700195,-70.67713165283203,56.08805847167969,-5.335381984710693,32,876.9
137,1654565908.9392273,1576960,-4.080934524536133,2806.04541015625,93.11505126953125,52.29573440551758,45.39965057373047,-4.5803351402282715,32,881.9
138,1654565914.62232,1587200,86.74482727050781,3298.103515625,-26.219942092895508,-66.71963500976562,45.43288803100586,-4.933194637298584,32,886.9
139,1654565918.8952637,1594880,-3.2354278564453125,2591.26953125,-138.69610595703125,-146.97190856933594,13.572620391845703,-5.296811580657959,32,886.9
140,1654565920.3362179,1597440,-11.090848922729492,3034.775390625,42.799720764160156,6.890070915222168,41.21260452270508,-5.302955150604248,32,891.9
141,1654565921.809218,1600000,-31.291078567504883,3166.32861328125,-73.75726318359375,-70.70551300048828,2.2140064239501953,-5.2657551765441895,32,891.9
142,1654565923.153314,1602560,81.36083221435547,3099.431640625,31.59405517578125,19.226362228393555,17.529869079589844,-5.162178993225098,32,891.9
143,1654565926.0087059,1607680,33.84946060180664,3208.491943359375,22.838396072387695,8.559186935424805,19.286060333251953,-5.0068511962890625,32,896.9
144,1654565927.5012043,1610240,-4.290003299713135,3296.646484375,-31.0308837890625,-28.681766510009766,2.4879465103149414,-4.837063789367676,32,896.9
145,1654565934.4923978,1623040,9.299247741699219,3298.416015625,-48.409210205078125,-67.5103530883789,23.87496566772461,-4.77382230758667,32,906.9
146,1654565935.9347546,1625600,-2.439547538757324,4065.0625,-113.10025024414062,-124.57510375976562,16.079479217529297,-4.604632377624512,32,906.9
147,1654565937.4115455,1628160,23.589815139770508,2256.431640625,-29.593564987182617,-45.794151306152344,20.81122589111328,-4.610640048980713,32,906.9
148,1654565940.20788,1633280,45.68052291870117,3121.60791015625,-96.77276611328125,-95.99446868896484,3.9235520362854004,-4.701854228973389,32,912.0
149,1654565941.5923085,1635840,-12.279718399047852,2445.657958984375,-77.55220794677734,-74.78475189208984,1.999595046043396,-4.767055034637451,32,912.0
150,1654565943.0215623,1638400,-23.091073989868164,4156.32861328125,66.26644897460938,37.30633544921875,33.97914123535156,-5.01902961730957,32,912.0
151,1654565947.4544733,1646080,-27.901060104370117,2538.909912109375,45.20496368408203,9.85425090789795,39.745887756347656,-4.395175457000732,32,917.0
152,1654565950.224048,1651200,11.409017562866211,2793.460205078125,779.7400512695312,418.8219299316406,366.07470703125,-5.156551361083984,32,922.0
153,1654565951.5879369,1653760,55.020530700683594,3570.814208984375,-62.36177444458008,-62.59230041503906,5.471714973449707,-5.2411885261535645,32,922.0
154,1654565953.1835625,1656320,25.881431579589844,3228.841064453125,23.549299240112305,-2.278322219848633,31.230419158935547,-5.402797698974609,32,922.0
155,1654565956.0383594,1661440,81.68856048583984,3260.6875,-28.888967514038086,-42.228981018066406,18.767040252685547,-5.427026748657227,32,927.0
156,1654565957.4177823,1664000,221.76812744140625,3149.773193359375,57.29615783691406,32.71393966674805,30.207632064819336,-5.625410556793213,32,927.0
157,1654565961.6370728,1671680,16.46999740600586,2941.112548828125,1.9639153480529785,-27.24323844909668,34.592498779296875,-5.385344982147217,32,932.0
158,1654565964.5328906,1676800,41.349552154541016,3351.206787109375,9.32288646697998,-8.481985092163086,22.49370765686035,-4.688836097717285,32,937.0
159,1654565965.9663873,1679360,7.462600231170654,3584.49072265625,-62.709747314453125,-107.15818786621094,49.52603530883789,-5.077592849731445,32,937.0
160,1654565970.3014984,1687040,-1.0303983688354492,2591.780029296875,-22.082576751708984,-37.87788391113281,21.218719482421875,-5.4234113693237305,32,942.0
161,1654565971.719932,1689600,-2.110276937484741,2723.262451171875,45.61263656616211,14.461950302124023,36.64522171020508,-5.494534015655518,32,942.0
162,1654565973.1813488,1692160,12.289722442626953,2733.442138671875,-66.49364471435547,-68.12095642089844,7.052890300750732,-5.425577640533447,32,942.0
163,1654565974.476314,1694720,95.6693344116211,2716.525146484375,5.884748935699463,-8.256489753723145,19.500043869018555,-5.358805179595947,32,947.0
164,1654565977.3562958,1699840,-17.459882736206055,3191.894287109375,44.82015609741211,38.30195236206055,12.110499382019043,-5.592295169830322,32,947.0
165,1654565978.7379484,1702400,64.57295989990234,2052.1953125,428.2339172363281,313.4414367675781,120.26057434082031,-5.4681172370910645,32,947.0
166,1654565980.2217202,1704960,-54.666831970214844,3731.775146484375,-4.979478359222412,-34.514564514160156,35.16901397705078,-5.633927822113037,32,952.0
167,1654565981.5871058,1707520,-26.181194305419922,3118.689453125,27.359119415283203,-10.110462188720703,43.179012298583984,-5.709431171417236,32,952.0
168,1654565983.0144968,1710080,-34.26279067993164,2499.936279296875,102.26554870605469,67.9363021850586,39.853309631347656,-5.52406644821167,32,952.0
169,1654565985.8416884,1715200,19.010034561157227,3030.32470703125,162.35726928710938,100.2686996459961,67.61842346191406,-5.529843807220459,32,957.0
170,1654565988.6210299,1720320,-20.158451080322266,2289.171142578125,607.4354858398438,442.2392272949219,170.52516174316406,-5.328941822052002,32,957.0
171,1654565990.1906915,1722880,52.02570343017578,2792.39453125,142.35763549804688,64.51126861572266,83.31809997558594,-5.471739768981934,32,962.0
172,1654565991.5749857,1725440,55.980411529541016,2567.378662109375,120.9118881225586,68.54991149902344,57.84534454345703,-5.483371257781982,32,962.0
173,1654565993.0073287,1728000,-35.150634765625,3079.66259765625,-40.758094787597656,-61.34281921386719,26.173465728759766,-5.588739395141602,32,962.0
174,1654565997.3010063,1735680,-9.530205726623535,1941.8973388671875,-83.74556732177734,-92.84455108642578,14.72215461730957,-5.623169422149658,32,967.0
175,1654565998.804446,1738240,15.179706573486328,2849.637451171875,-18.497554779052734,-38.09043884277344,25.093435287475586,-5.500551223754883,32,967.0
176,1654566000.1765356,1740800,75.10595703125,2489.86962890625,-46.23588943481445,-64.08084106445312,23.31916618347168,-5.474217414855957,32,972.0
177,1654566002.9511247,1745920,2.92108416557312,2853.48486328125,-47.268917083740234,-57.741153717041016,15.968894958496094,-5.496657848358154,32,972.0
178,1654566007.2860446,1753600,19.757442474365234,2491.343017578125,256.7486572265625,145.7488555908203,116.23222351074219,-5.2324347496032715,32,977.0
179,1654566008.6611748,1756160,32.20975112915039,2813.861328125,123.42837524414062,88.54088592529297,40.23571014404297,-5.348217964172363,32,977.0
180,1654566011.5007257,1761280,4.479907512664795,3008.423095703125,170.81004333496094,70.56576538085938,105.442626953125,-5.198347091674805,32,982.0
181,1654566012.8970451,1763840,72.37081909179688,2265.64111328125,34.79887008666992,5.655155181884766,34.406578063964844,-5.262861728668213,32,982.0
182,1654566020.0245728,1776640,-39.988521575927734,2724.064208984375,239.22311401367188,160.24368286132812,84.22164916992188,-5.242212295532227,32,992.0
183,1654566025.669811,1786880,159.65199279785156,2904.15625,164.9532470703125,53.27566146850586,117.07220458984375,-5.394627094268799,32,997.0
184,1654566028.5617619,1792000,-37.9994010925293,2947.657958984375,-57.45891571044922,-100.8083724975586,48.74790954589844,-5.398454189300537,32,997.0
185,1654566030.0684743,1794560,152.59027099609375,1716.3671875,372.45513916015625,198.67584228515625,179.2389678955078,-5.459648132324219,32,1002.0
186,1654566033.0760167,1799680,70.11909484863281,3012.197265625,-7.319469451904297,-32.69396209716797,30.69361114501953,-5.319118499755859,32,1002.0
187,1654566036.1005428,1804800,14.43975830078125,2068.951171875,-66.30471801757812,-70.44303894042969,9.311614990234375,-5.173291206359863,32,1007.0
188,1654566038.9392462,1809920,39.9437370300293,2720.276611328125,52.0139045715332,17.288278579711914,39.527984619140625,-4.802357196807861,32,1007.0
189,1654566043.1725852,1817600,-7.330810546875,2516.07666015625,141.15802001953125,49.35197830200195,97.01556396484375,-5.209521770477295,32,1012.1
190,1654566046.059641,1822720,8.520484924316406,2097.03564453125,169.080078125,40.515533447265625,134.18231201171875,-5.61776876449585,32,1017.1
191,1654566047.4868367,1825280,-12.312557220458984,2576.341064453125,33.22844314575195,-31.9794921875,70.4386978149414,-5.230762004852295,32,1017.1
192,1654566049.0235639,1827840,-1.1456451416015625,2329.685302734375,-12.402484893798828,-67.87208557128906,60.95878982543945,-5.489189624786377,32,1017.1
193,1654566050.492623,1830400,-10.661201477050781,2387.63916015625,-94.75348663330078,-99.32376861572266,9.56208324432373,-4.99179744720459,32,1022.1
