# _tick,_time,train_seconds,step,mean_episode_return,mean_episode_step,total_loss,pg_loss,baseline_loss,entropy_loss,learner_queue_size
100,1654750035.894093,395.8,1136640,-14.75033187866211,3589.839111328125,-30.92925262451172,-12.690603256225586,2.7756922245025635,-21.014341354370117,64
101,1654750037.5606825,395.8,1141760,-44.5985221862793,3794.4453125,71.34369659423828,73.38853454589844,18.967918395996094,-21.01275634765625,64
102,1654750041.0387886,400.8,1152000,62.05004119873047,3639.272705078125,12.79495620727539,28.31282615661621,5.118166923522949,-20.636035919189453,64
103,1654750044.7862668,405.8,1162240,-13.970315933227539,3716.1796875,55.82819366455078,63.23058319091797,13.401304244995117,-20.803693771362305,64
104,1654750046.60257,405.8,1167360,-13.1395902633667,3683.668701171875,744.2568969726562,595.9984741210938,168.82525634765625,-20.566848754882812,64
105,1654750048.5451608,410.8,1172480,-28.609880447387695,3970.348388671875,456.4991149902344,348.1128845214844,128.90780639648438,-20.521570205688477,64
106,1654750050.4828026,410.8,1177600,-38.88880920410156,3625.390625,126.60564422607422,116.44728088378906,30.493743896484375,-20.33538246154785,64
107,1654750056.1274922,415.8,1192960,-16.009641647338867,3661.978271484375,94.74510192871094,102.22813415527344,12.71269416809082,-20.195728302001953,64
108,1654750061.6558194,420.8,1208320,-40.59919357299805,3707.007080078125,-95.95853424072266,-77.32908630371094,1.5730342864990234,-20.202482223510742,64
109,1654750063.3647385,425.8,1213440,-39.789344787597656,4004.08837890625,57.213836669921875,70.34986114501953,7.057504653930664,-20.193527221679688,64
110,1654750065.1547406,425.8,1218560,-32.477874755859375,4213.6875,-104.64209747314453,-87.23237609863281,2.884052276611328,-20.29376792907715,64
111,1654750066.859927,425.8,1223680,-14.305225372314453,3699.520263671875,-39.66179656982422,-27.19923210144043,7.8665876388549805,-20.32914924621582,64
112,1654750079.039646,440.8,1259520,33.64744567871094,4054.410888671875,-23.302978515625,-9.268835067749023,6.025397300720215,-20.059539794921875,64
113,1654750082.565196,440.8,1269760,19.64227294921875,3882.118896484375,87.62593841552734,98.5550537109375,9.408199310302734,-20.337318420410156,64
114,1654750087.9870386,450.8,1285120,-34.265045166015625,4029.72265625,56.254966735839844,69.05677032470703,7.69754695892334,-20.499353408813477,64
115,1654750095.532113,455.8,1305600,-42.90880584716797,4122.0546875,-94.1174087524414,-77.24180603027344,3.2987282276153564,-20.174331665039062,64
116,1654750101.2995815,460.8,1320960,-32.38066482543945,3871.631591796875,-116.77505493164062,-98.64402770996094,2.1803157329559326,-20.311342239379883,64
117,1654750103.2239642,465.8,1326080,5.190666198730469,4234.2939453125,-91.83231353759766,-75.41581726074219,3.920117139816284,-20.33661460876465,64
118,1654750107.2146924,465.8,1336320,-39.84764099121094,4169.9814453125,241.26670837402344,220.78543090820312,40.48118591308594,-19.99989891052246,64
119,1654750110.8133268,470.8,1346560,-45.5783576965332,4060.61328125,-11.398436546325684,-2.7574920654296875,11.210724830627441,-19.851669311523438,64
120,1654750114.2293603,475.9,1356800,-50.85747146606445,4049.9921875,-108.68212890625,-91.08909606933594,1.9423494338989258,-19.53538703918457,64
121,1654750122.93349,485.9,1382400,-56.146583557128906,4215.1416015625,31.782608032226562,44.53898620605469,6.676659107208252,-19.43303680419922,64
122,1654750136.9799602,495.9,1423360,-53.806976318359375,4288.7734375,-2.904998779296875,5.779752731323242,10.953428268432617,-19.638179779052734,64
123,1654750138.733875,500.9,1428480,-54.666831970214844,4395.8291015625,-35.405670166015625,-22.533334732055664,6.6527228355407715,-19.52505874633789,64
124,1654750140.4570422,500.9,1433600,-53.63633346557617,4682.0283203125,246.31785583496094,174.88101196289062,90.84064483642578,-19.403799057006836,64
125,1654750142.2424521,500.9,1438720,-26.15106773376465,4319.47216796875,-83.1200942993164,-66.50340270996094,2.6625986099243164,-19.27928924560547,64
126,1654750163.255095,525.9,1500160,-54.71682357788086,4333.9033203125,-34.66748809814453,-16.505054473876953,1.5819823741912842,-19.744417190551758,64
127,1654750166.6787834,525.9,1510400,5.209001541137695,4610.6748046875,16.903202056884766,29.986713409423828,6.514861106872559,-19.598373413085938,64
128,1654750175.0372295,535.9,1530880,-48.76774215698242,5125.1015625,-100.41096496582031,-82.87782287597656,2.369253396987915,-19.902400970458984,64
129,1654750181.9038393,540.9,1551360,-5.84030818939209,4358.8251953125,59.216548919677734,50.8135986328125,28.290302276611328,-19.887348175048828,64
130,1654750185.2861378,545.9,1561600,-4.38837194442749,4604.34130859375,-99.74618530273438,-84.60176086425781,4.57418155670166,-19.718608856201172,64
131,1654750186.9987917,545.9,1566720,-10.560501098632812,4649.3251953125,338.7566223144531,297.64862060546875,60.67913818359375,-19.57114601135254,64
132,1654750188.748634,550.9,1571840,-3.0004119873046875,4571.95458984375,-39.35621643066406,-23.912822723388672,4.042613983154297,-19.48600959777832,64
133,1654750192.5334976,550.9,1582080,-37.517372131347656,4678.0478515625,-155.26100158691406,-136.52647399902344,0.6903342604637146,-19.42486572265625,64
134,1654750194.4533904,555.9,1587200,13.06991195678711,4397.6611328125,3.6215553283691406,18.771940231323242,4.300899505615234,-19.451284408569336,64
135,1654750198.3965747,560.9,1597440,-0.2600575387477875,4705.02587890625,370.9525451660156,309.300537109375,81.21205139160156,-19.560029983520508,64
136,1654750203.94884,565.9,1612800,-56.425193786621094,5334.84716796875,-22.650842666625977,-7.6978759765625,4.379089832305908,-19.332056045532227,64
137,1654750211.4805915,570.9,1633280,-12.65019416809082,5198.01904296875,675.2222900390625,491.2864990234375,203.16830444335938,-19.232561111450195,64
138,1654750220.2940807,580.9,1658880,-38.18762969970703,4939.60107421875,-97.62602233886719,-96.07573699951172,17.74144744873047,-19.291732788085938,64
139,1654750223.6757357,585.9,1669120,-3.5299971103668213,5062.8720703125,121.1063232421875,113.00543212890625,27.493038177490234,-19.392154693603516,64
140,1654750225.366091,585.9,1674240,-28.033329010009766,4684.68603515625,188.65701293945312,173.74127197265625,34.45751953125,-19.541778564453125,64
